gene set	gene
Glutaminyl tRNA synthetase	AC5u0009GL000330
Glutaminyl tRNA synthetase	AC5u0009GL000331
Glutamyl-tRNA synthetase	AC5u0009GL000056
Glycerate kinase	AC5u0009GL001365
Glycerol dehydrogenase	AC5u0009GL001480
Glycerol-3-phosphatase	AC5u0009GL000621
Glycerol-3-phosphatase	AC5u0009GL000639
Glycerol-3-phosphatase	AC5u0009GL002157
Glycerol-3-phosphatase	AC5u0009GL002175
Glycerol-3-phosphate dehydrogenase (NADP)	AC5u0009GL000793
Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	AC5u0009GL000398
Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)	AC5u0009GL000398
Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol)	AC5u0009GL000398
Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)	AC5u0009GL000398
Glycerophosphodiester phosphodiesterase (sn-Glycero-3-phosphocholine)	AC5u0009GL000398
Glycyl-tRNA synthetase	AC5u0009GL001594
